ID,Process ID,Process Name,Host Name,Kernel Name,Kernel Time,Context,Stream,Section Name,Metric Name,Metric Unit,Metric Value
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,dram__bytes.sum,byte,139101952
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,l1tex__t_bytes.sum,byte,366738240
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,lts__t_bytes.sum,byte,224106432
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,sm__cycles_elapsed.avg,cycle,277581.2
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,sm__cycles_elapsed.avg.per_second,cycle/second,1314105817
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,sm__inst_executed_pipe_tensor.sum,inst,0
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,inst,0
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,inst,0
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,inst,0
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,inst,22077240
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,inst,5836800
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,inst,8755200
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,inst,0
0,153218,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 20:27:10,1,15,Command line profiler metrics,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,inst,0
