ID,Process ID,Process Name,Host Name,Kernel Name,Kernel Time,Context,Stream,Section Name,Metric Name,Metric Unit,Metric Value
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,dram__bytes.sum,byte,556472832
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,l1tex__t_bytes.sum,byte,1501159616
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,lts__t_bytes.sum,byte,642768064
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,sm__cycles_elapsed.avg,cycle,14915839.12
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,sm__cycles_elapsed.avg.per_second,cycle/second,1310393221
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,sm__inst_executed_pipe_tensor.sum,inst,0
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,inst,0
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,inst,0
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,inst,0
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,inst,5648188447
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,inst,7913209121
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,inst,7367291386
0,21935,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-23 13:41:16,1,18,Command line profiler metrics,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,inst,0
